,ft,bt,km,transmission,ownerNo,model,modelYear,price,Mileage,Engine,Seats,city
0,Petrol,SUV,20000.0,Automatic,1,Kia Sonet,2022.0,1150000.0,18.9,998.0,5.0,Chennai
1,Petrol,Minivans,20687.0,Manual,1,Maruti Eeco,2015.0,415000.00000000006,15.37,1196.0,7.0,Chennai
2,Petrol,SUV,30000.0,Manual,1,Nissan Magnite,2021.0,750000.0,20.0,999.0,5.0,Chennai
3,Petrol,Hatchback,59247.0,Manual,1,Hyundai i10,2015.0,398000.0,19.81,1086.0,5.0,Chennai
4,Petrol,Hatchback,50000.0,Manual,1,Honda Jazz,2015.0,550000.0,18.7,1199.0,5.0,Chennai
5,Diesel,Sedan,20000.0,Automatic,1,Mercedes-Benz E-Class,2016.0,1776500.0,13.0,1949.5,5.0,Chennai
6,Petrol,Hatchback,29403.0,Automatic,1,Maruti Celerio,2016.0,453000.0,23.1,998.0,5.0,Chennai
7,Petrol,Hatchback,42700.0,Manual,1,Maruti A-Star,2010.0,285000.0,19.0,998.0,5.0,Chennai
8,Diesel,SUV,23001.0,Automatic,1,BMW X3,2018.0,1776500.0,16.55,1949.5,5.0,Chennai
9,Petrol,SUV,25925.0,Automatic,2,Ford Ecosport,2018.0,821000.0000000001,14.8,1497.0,5.0,Chennai
10,Petrol,Hatchback,20000.0,Manual,1,Hyundai i20,2021.0,865000.0,21.0,1197.0,5.0,Chennai
11,Petrol,Hatchback,17711.0,Automatic,1,Honda Jazz,2019.0,792000.0,18.2,1199.0,5.0,Chennai
12,Diesel,Sedan,50000.0,Automatic,1,BMW 3 Series,2020.0,1776500.0,20.37,1949.5,5.0,Chennai
13,Petrol,Hatchback,50000.0,Manual,1,Maruti Swift,2018.0,610000.0,22.0,1197.0,5.0,Chennai
14,Petrol,Hatchback,51125.0,Manual,2,Hyundai Grand i10,2018.0,511000.00000000006,18.9,1197.0,5.0,Chennai
15,Diesel,SUV,69233.0,Manual,1,Tata Nexon,2019.0,710000.0,21.5,1497.0,5.0,Chennai
16,Diesel,SUV,65000.0,Manual,1,Jeep Compass,2017.0,1225000.0,17.1,1949.5,5.0,Chennai
17,Petrol,Sedan,93281.0,Manual,1,Honda City,2014.0,570000.0,17.4,1497.0,5.0,Chennai
18,Diesel,SUV,18000.0,Manual,1,Toyota Fortuner,2022.0,1776500.0,18.9,1949.5,7.0,Chennai
19,Petrol,Sedan,99225.0,Manual,2,Honda Amaze,2014.0,375000.0,18.0,1198.0,5.0,Chennai
20,Petrol,Hatchback,30000.0,Manual,1,Hyundai EON,2016.0,275000.0,20.3,998.0,5.0,Chennai
21,Petrol,Sedan,30602.0,Manual,1,Honda Amaze,2014.0,429000.0,18.0,1198.0,5.0,Chennai
22,Diesel,Hatchback,64500.0,Manual,1,Maruti Swift,2018.0,675000.0,25.2,1248.0,5.0,Chennai
23,Petrol,Sedan,46809.0,Manual,2,Honda City,2017.0,793000.0,17.8,1497.0,5.0,Chennai
24,Electric,SUV,20000.0,Automatic,1,Tata Nexon EV,2020.0,1100000.0,18.9,745.5,5.0,Chennai
25,Diesel,SUV,20000.0,Automatic,1,Hyundai Creta,2019.0,1425000.0,17.01,1582.0,5.0,Chennai
26,Petrol,SUV,21725.0,Automatic,1,Hyundai Venue,2020.0,1036000.0,18.15,998.0,5.0,Chennai
27,Petrol,Sedan,80000.0,Manual,1,Honda City,2016.0,800000.0,17.8,1497.0,5.0,Chennai
28,Petrol,Sedan,88000.0,Automatic,2,Audi A6,2013.0,1400000.0,13.53,1949.5,5.0,Chennai
29,Petrol,Sedan,30360.0,Automatic,2,Honda City,2019.0,1088000.0,17.4,1497.0,5.0,Chennai
30,Petrol,Hatchback,70000.0,Automatic,2,Maruti Baleno,2017.0,590000.0,21.4,1197.0,5.0,Chennai
31,Petrol,Hatchback,16246.0,Manual,1,Hyundai Grand i10,2016.0,568000.0,18.9,1197.0,5.0,Chennai
32,Petrol,Hatchback,55000.0,Automatic,2,Maruti Celerio,2017.0,400000.0,23.1,998.0,5.0,Chennai
33,Petrol,MUV,13000.0,Automatic,1,Toyota Innova Crysta,2022.0,1776500.0,10.425000000000006,1949.5,7.0,Chennai
34,Petrol,Hatchback,71638.0,Automatic,2,Maruti Celerio,2016.0,422000.0,23.1,998.0,5.0,Chennai
35,Petrol,Sedan,46105.0,Manual,1,Honda Amaze,2015.0,450000.0,18.0,1198.0,5.0,Chennai
36,Petrol,SUV,60000.0,Manual,1,Honda WR-V,2017.0,650000.0,17.5,1199.0,5.0,Chennai
37,Diesel,Hatchback,80000.0,Manual,1,Honda Jazz,2017.0,575000.0,27.3,1498.0,5.0,Chennai
38,Diesel,Hatchback,58000.0,Automatic,1,Mercedes-Benz B Class,2015.0,1776500.0,15.0,1949.5,5.0,Chennai
39,Petrol,Sedan,70000.0,Manual,2,Maruti Esteem,2008.0,150000.0,15.9,1298.0,5.0,Chennai
40,Petrol,Hatchback,61764.0,Automatic,1,Maruti Baleno,2017.0,702000.0,21.4,1197.0,5.0,Chennai
41,Petrol,SUV,36018.0,Manual,2,Mahindra KUV 100,2016.0,448000.00000000006,18.15,1198.0,6.0,Chennai
42,Diesel,SUV,150000.0,Automatic,1,Renault Duster,2016.0,650000.0,19.6,1461.0,5.0,Chennai
43,Petrol,Hatchback,17197.0,Manual,1,Hyundai Grand i10 Nios,2022.0,801000.0,20.7,998.0,5.0,Chennai
44,Petrol,Sedan,62931.0,Automatic,2,Honda City,2016.0,772000.0,18.0,1497.0,5.0,Chennai
45,Petrol,Sedan,90000.0,Manual,2,Toyota Corolla Altis,2013.0,500000.0,14.53,1798.0,5.0,Chennai
46,Petrol,SUV,21023.0,Manual,1,Mahindra XUV300,2021.0,1103000.0,16.82,1197.0,5.0,Chennai
47,Diesel,Sedan,43000.0,Manual,1,Toyota Corolla Altis,2018.0,1490000.0,21.43,1364.0,5.0,Chennai
48,Diesel,Sedan,110505.0,Automatic,1,Maruti Swift Dzire,2017.0,627000.0,27.984999999999992,1248.0,5.0,Chennai
49,Petrol,Sedan,78892.0,Manual,1,Hyundai Verna,2018.0,835000.0,17.0,1591.0,5.0,Chennai
50,Diesel,Sedan,59000.0,Automatic,1,Audi A6,2015.0,1776500.0,18.53,1949.5,5.0,Chennai
51,Petrol,Sedan,90058.0,Manual,1,Chevrolet Sail,2014.0,350000.0,18.2,1199.0,5.0,Chennai
52,Diesel,SUV,69000.0,Automatic,1,Audi Q5,2015.0,1776500.0,13.22,1949.5,5.0,Chennai
53,Diesel,SUV,67000.0,Manual,1,Honda WR-V,2019.0,925000.0,25.5,1498.0,5.0,Chennai
54,Diesel,Sedan,80000.0,Manual,1,Maruti Ciaz,2017.0,850000.0,27.984999999999992,1248.0,5.0,Chennai
55,Diesel,Sedan,80000.0,Manual,1,Maruti Ciaz,2017.0,850000.0,27.984999999999992,1248.0,5.0,Chennai
56,Diesel,SUV,57000.0,Automatic,1,Audi Q7,2020.0,1776500.0,14.75,1949.5,7.0,Chennai
57,Diesel,MUV,155000.0,Manual,1,Toyota Innova Crysta,2018.0,1776500.0,13.68,1949.5,8.0,Chennai
58,Diesel,Sedan,155000.0,Automatic,1,Mercedes-Benz C-Class,2018.0,1776500.0,19.27,1949.5,5.0,Chennai
59,Diesel,Sedan,27000.0,Automatic,1,BMW 7 Series,2017.0,1776500.0,16.46,1949.5,5.0,Chennai
60,Petrol,SUV,38334.0,Manual,1,Tata Nexon,2018.0,707000.0,17.0,1198.0,5.0,Chennai
61,Petrol,Hatchback,36992.0,Manual,1,Volkswagen Polo,2019.0,680000.0,17.74,999.0,5.0,Chennai
62,Diesel,SUV,50000.0,Automatic,2,BMW X3,2016.0,1776500.0,16.55,1949.5,5.0,Chennai
63,Diesel,SUV,34596.0,Automatic,1,Tata New Safari,2021.0,1776500.0,14.08,1949.5,6.0,Chennai
64,Petrol,Hatchback,84564.0,Manual,1,Datsun GO,2019.0,401000.0,19.02,1198.0,5.0,Chennai
65,Diesel,Sedan,60001.0,Automatic,2,Mercedes-Benz E-Class,2013.0,1776500.0,13.0,1949.5,5.0,Chennai
66,Petrol,Hatchback,23462.0,Manual,1,Hyundai Santro,2018.0,505000.0,20.3,1086.0,5.0,Chennai
67,Petrol,SUV,13000.0,Automatic,1,Volkswagen Taigun,2022.0,1599000.0,18.41,999.0,5.0,Chennai
68,Diesel,Sedan,54658.0,Automatic,1,Honda Amaze,2019.0,830000.0000000001,23.8,1498.0,5.0,Chennai
69,Petrol,SUV,34164.0,Manual,1,Mahindra XUV300,2020.0,1036000.0,16.82,1197.0,5.0,Chennai
70,Petrol,SUV,10000.0,Manual,1,Kia Seltos,2022.0,1595000.0,16.8,1497.0,5.0,Chennai
71,Petrol,Hatchback,70000.0,Manual,3,Fiat Punto,2010.0,100000.0,14.6,1368.0,5.0,Chennai
72,Petrol,SUV,37000.0,Manual,1,Hyundai Venue,2020.0,825000.0,17.52,1197.0,5.0,Chennai
73,Diesel,SUV,20000.0,Automatic,1,Mahindra XUV700,2022.0,1776500.0,18.9,1949.5,7.0,Chennai
74,Petrol,Hatchback,53967.0,Manual,1,Maruti Baleno,2016.0,550000.0,21.4,1197.0,5.0,Chennai
